Id,Time,ScreenTemperature,FeelsLikeTemp,WindSpeed,WindDirection,totalPrecipitation,ProbofPrecipitation,Latitude,Longitude
1,2024-05-07T21:00Z,9.33,6.85,4.74,135,0,1,-3.9963,53.1147
2,2024-05-07T22:00Z,9.42,6.82,5.15,140,0,1,-3.9963,53.1147
3,2024-05-07T23:00Z,9.38,6.71,5.29,161,0,1,-3.9963,53.1147
4,2024-05-08T00:00Z,8.72,5.98,5.05,182,0,2,-3.9963,53.1147
5,2024-05-08T01:00Z,8.48,5.63,5.15,187,0,2,-3.9963,53.1147
6,2024-05-08T02:00Z,7.96,4.92,5.34,184,0,2,-3.9963,53.1147
7,2024-05-08T03:00Z,7.59,4.33,5.66,176,0,3,-3.9963,53.1147
8,2024-05-08T04:00Z,7.48,4.03,6.14,182,0,2,-3.9963,53.1147
9,2024-05-08T05:00Z,7.38,3.99,5.95,187,0,5,-3.9963,53.1147
10,2024-05-08T06:00Z,7.03,3.62,6.03,191,0,5,-3.9963,53.1147
11,2024-05-08T07:00Z,6.78,3.29,6.06,198,0,16,-3.9963,53.1147
12,2024-05-08T08:00Z,6.66,3.18,5.84,204,0,17,-3.9963,53.1147
13,2024-05-08T09:00Z,6.72,3.4,5.46,208,0,18,-3.9963,53.1147
14,2024-05-08T10:00Z,6.8,3.51,5.34,210,0,18,-3.9963,53.1147
15,2024-05-08T11:00Z,6.93,3.57,5.57,215,0,8,-3.9963,53.1147
16,2024-05-08T12:00Z,7.1,3.62,5.94,213,0,7,-3.9963,53.1147
17,2024-05-08T13:00Z,6.97,3.27,6.45,218,0,6,-3.9963,53.1147
18,2024-05-08T14:00Z,6.89,3,6.94,224,0,6,-3.9963,53.1147
19,2024-05-08T15:00Z,7.04,3.13,7.16,226,0,6,-3.9963,53.1147
20,2024-05-08T16:00Z,7.02,3.2,6.89,226,0,7,-3.9963,53.1147
21,2024-05-08T17:00Z,6.92,3.06,6.96,225,0,6,-3.9963,53.1147
22,2024-05-08T18:00Z,6.74,2.97,6.59,227,0,5,-3.9963,53.1147
23,2024-05-08T19:00Z,6.69,2.82,6.92,224,0,5,-3.9963,53.1147
24,2024-05-08T20:00Z,6.69,2.89,6.75,222,0,4,-3.9963,53.1147
25,2024-05-08T21:00Z,6.62,2.84,6.72,219,0,4,-3.9963,53.1147
26,2024-05-08T22:00Z,6.68,3.02,6.44,217,0,4,-3.9963,53.1147
27,2024-05-08T23:00Z,6.58,2.95,6.29,216,0,4,-3.9963,53.1147
28,2024-05-09T00:00Z,6.58,3,6.15,214,0,4,-3.9963,53.1147
29,2024-05-09T01:00Z,6.54,3.03,5.99,210,0,4,-3.9963,53.1147
30,2024-05-09T02:00Z,6.64,3.27,5.64,210,0,4,-3.9963,53.1147
31,2024-05-09T03:00Z,6.68,3.38,5.56,214,0,4,-3.9963,53.1147
32,2024-05-09T04:00Z,6.68,3.47,5.41,211,0,1,-3.9963,53.1147
33,2024-05-09T05:00Z,6.63,3.39,5.45,211,0,4,-3.9963,53.1147
34,2024-05-09T06:00Z,6.74,3.53,5.52,212,0,4,-3.9963,53.1147
35,2024-05-09T07:00Z,6.89,3.7,5.49,218,0,4,-3.9963,53.1147
36,2024-05-09T08:00Z,7.18,4.06,5.42,224,0,4,-3.9963,53.1147
37,2024-05-09T09:00Z,7.62,4.62,5.34,229,0,4,-3.9963,53.1147
38,2024-05-09T10:00Z,8.34,5.71,4.76,231,0,3,-3.9963,53.1147
39,2024-05-09T11:00Z,9.01,6.63,4.54,232,0,3,-3.9963,53.1147
40,2024-05-09T12:00Z,9.68,7.49,4.35,232,0,3,-3.9963,53.1147
41,2024-05-09T13:00Z,10,7.98,4.1,236,0,3,-3.9963,53.1147
42,2024-05-09T14:00Z,10.43,8.54,3.95,238,0,3,-3.9963,53.1147
43,2024-05-09T15:00Z,10.79,9.09,3.65,244,0,3,-3.9963,53.1147
44,2024-05-09T16:00Z,10.72,9.41,2.89,249,0,3,-3.9963,53.1147
45,2024-05-09T17:00Z,10.44,9.21,2.69,253,0,3,-3.9963,53.1147
46,2024-05-09T18:00Z,10.26,9.19,2.4,261,0,3,-3.9963,53.1147
47,2024-05-09T19:00Z,9.4,8.09,2.57,255,0,4,-3.9963,53.1147
48,2024-05-09T20:00Z,8.69,7.03,2.98,248,0,4,-3.9963,53.1147
